File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,#_participants
Mean,eng,SALT_Persuasion,.,17;0-18;0,.,TD,.,.,.,.,.,.,Persuasion,.,32.24,31.31,16.83,18.55,.,.,.,173.4,505.53,.,.,3.17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45
Min,eng,SALT_Persuasion,.,17;0-18;0,.,TD,.,.,.,.,.,.,Persuasion,.,8,8,9.42,10.23,.,.,.,72,133,.,.,1.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45
Max,eng,SALT_Persuasion,.,17;0-18;0,.,TD,.,.,.,.,.,.,Persuasion,.,77,74,27.36,30.27,.,.,.,315,1207,.,.,4.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45
SD,eng,SALT_Persuasion,.,17;0-18;0,.,TD,.,.,.,.,.,.,Persuasion,.,17.25,16.6,4.21,4.7,.,.,.,63.45,255.72,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45
Mean,eng,SALT_Persuasion,.,18;0-18;9,.,TD,.,.,.,.,.,.,Persuasion,.,34.89,33.95,16.88,18.68,.,.,.,185.11,546.58,.,.,3.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Min,eng,SALT_Persuasion,.,18;0-18;9,.,TD,.,.,.,.,.,.,Persuasion,.,12,12,9.63,10.85,.,.,.,106,238,.,.,2.05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Max,eng,SALT_Persuasion,.,18;0-18;9,.,TD,.,.,.,.,.,.,Persuasion,.,77,76,25.21,27.93,.,.,.,326,1142,.,.,4.93,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
SD,eng,SALT_Persuasion,.,18;0-18;9,.,TD,.,.,.,.,.,.,Persuasion,.,18.21,17.88,3.77,4.11,.,.,.,63.12,269.14,.,.,0.72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19
Mean,eng,SALT_Expo,.,11;0-12;0,.,TD,.,.,.,.,.,.,Exposition,.,55.56,53.77,11.65,12.75,.,.,.,174.97,620.41,.,.,2.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88
Min,eng,SALT_Expo,.,11;0-12;0,.,TD,.,.,.,.,.,.,Exposition,.,13,13,7.67,8.54,.,.,.,74,169,.,.,1.61,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88
